goos: darwin
goarch: arm64
pkg: github.com/rbaliyan/mailbox
cpu: Apple M4
BenchmarkMarkAllRead/messages=10-10                     	      20	       956.2 ns/op	     652 B/op	       7 allocs/op
BenchmarkMarkAllRead/messages=100-10                    	      20	      5238 ns/op	    4824 B/op	      49 allocs/op
BenchmarkMarkAllRead/messages=100-10                    	      20	      5306 ns/op	    4824 B/op	      49 allocs/op
BenchmarkMarkAllRead/messages=100-10                    	      20	      5548 ns/op	    4792 B/op	      49 allocs/op
BenchmarkMarkAllRead/messages=100-10                    	      20	      5467 ns/op	    4904 B/op	      50 allocs/op
BenchmarkMarkAllRead/messages=100-10                    	      20	      5448 ns/op	    4848 B/op	      49 allocs/op
BenchmarkMarkAllRead/messages=100-10                    	      20	      4698 ns/op	    4896 B/op	      49 allocs/op
BenchmarkMarkAllRead/messages=500-10                    	      20	     27315 ns/op	   23216 B/op	     235 allocs/op
BenchmarkMarkAllRead/messages=500-10                    	      20	     26783 ns/op	   23272 B/op	     235 allocs/op
BenchmarkMarkAllRead/messages=500-10                    	      20	     30179 ns/op	   23344 B/op	     236 allocs/op
BenchmarkMarkAllRead/messages=500-10                    	      20	     30496 ns/op	   23256 B/op	     235 allocs/op
BenchmarkMarkAllRead/messages=500-10                    	      20	     31017 ns/op	   23424 B/op	     236 allocs/op
BenchmarkMarkAllRead/messages=500-10                    	      20	     54000 ns/op	   23456 B/op	     236 allocs/op
BenchmarkStats/messages=10-10                           	      20	       843.8 ns/op	     368 B/op	       3 allocs/op
BenchmarkStats/messages=10-10                           	      20	       895.9 ns/op	     368 B/op	       3 allocs/op
BenchmarkStats/messages=10-10                           	      20	       714.6 ns/op	     368 B/op	       3 allocs/op
BenchmarkStats/messages=10-10                           	      20	       881.2 ns/op	     368 B/op	       3 allocs/op
BenchmarkStats/messages=10-10                           	      20	       748.0 ns/op	     368 B/op	       3 allocs/op
BenchmarkStats/messages=10-10                           	      20	       864.5 ns/op	     368 B/op	       3 allocs/op
BenchmarkStats/messages=100-10                          	      20	      5554 ns/op	     368 B/op	       3 allocs/op
BenchmarkStats/messages=100-10                          	      20	      5975 ns/op	     368 B/op	       3 allocs/op
BenchmarkStats/messages=100-10                          	      20	      5777 ns/op	     368 B/op	       3 allocs/op
BenchmarkStats/messages=100-10                          	      20	      6156 ns/op	     368 B/op	       3 allocs/op
BenchmarkStats/messages=100-10                          	      20	      6017 ns/op	     368 B/op	       3 allocs/op
BenchmarkStats/messages=100-10                          	      20	      6160 ns/op	     368 B/op	       3 allocs/op
BenchmarkStats/messages=1000-10                         	      20	     84679 ns/op	     368 B/op	       3 allocs/op
BenchmarkStats/messages=1000-10                         	      20	     80615 ns/op	     368 B/op	       3 allocs/op
BenchmarkStats/messages=1000-10                         	      20	    113848 ns/op	     368 B/op	       3 allocs/op
BenchmarkStats/messages=1000-10                         	      20	    104825 ns/op	     368 B/op	       3 allocs/op
BenchmarkStats/messages=1000-10                         	      20	     79146 ns/op	     368 B/op	       3 allocs/op
BenchmarkStats/messages=1000-10                         	      20	     87162 ns/op	     368 B/op	       3 allocs/op
BenchmarkMoveToFolder-10                                	      20	      4033 ns/op	    5429 B/op	      55 allocs/op
BenchmarkMoveToFolder-10                                	      20	      4181 ns/op	    5232 B/op	      53 allocs/op
BenchmarkMoveToFolder-10                                	      20	      3471 ns/op	    5232 B/op	      53 allocs/op
BenchmarkMoveToFolder-10                                	      20	      3798 ns/op	    5232 B/op	      53 allocs/op
BenchmarkMoveToFolder-10                                	      20	      3400 ns/op	    5232 B/op	      53 allocs/op
BenchmarkMoveToFolder-10                                	      20	      3442 ns/op	    5232 B/op	      53 allocs/op
BenchmarkDelete-10                                      	      20	      3429 ns/op	    5216 B/op	      52 allocs/op
BenchmarkDelete-10                                      	      20	      4469 ns/op	    5216 B/op	      52 allocs/op
BenchmarkDelete-10                                      	      20	      3475 ns/op	    5216 B/op	      52 allocs/op
BenchmarkDelete-10                                      	      20	      5329 ns/op	    5216 B/op	      52 allocs/op
BenchmarkDelete-10                                      	      20	      7523 ns/op	    5216 B/op	      52 allocs/op
BenchmarkDelete-10                                      	      20	      3610 ns/op	    5216 B/op	      52 allocs/op
BenchmarkMoveByFilter/messages=10-10                    	      20	      9360 ns/op	    8416 B/op	     103 allocs/op
BenchmarkMoveByFilter/messages=10-10                    	      20	     13319 ns/op	    8408 B/op	     103 allocs/op
BenchmarkMoveByFilter/messages=10-10                    	      20	      9675 ns/op	    8416 B/op	     103 allocs/op
BenchmarkMoveByFilter/messages=10-10                    	      20	     10208 ns/op	    8408 B/op	     103 allocs/op
BenchmarkMoveByFilter/messages=10-10                    	      20	     11271 ns/op	    8424 B/op	     103 allocs/op
BenchmarkMoveByFilter/messages=10-10                    	      20	     10312 ns/op	    8416 B/op	     103 allocs/op
BenchmarkMoveByFilter/messages=100-10                   	      20	     62604 ns/op	   81584 B/op	     982 allocs/op
BenchmarkMoveByFilter/messages=100-10                   	      20	     88712 ns/op	   81600 B/op	     982 allocs/op
BenchmarkMoveByFilter/messages=100-10                   	      20	     59277 ns/op	   81600 B/op	     982 allocs/op
BenchmarkMoveByFilter/messages=100-10                   	      20	     58300 ns/op	   81570 B/op	     982 allocs/op
BenchmarkMoveByFilter/messages=100-10                   	      20	     57973 ns/op	   81584 B/op	     982 allocs/op
BenchmarkMoveByFilter/messages=100-10                   	      20	     56581 ns/op	   81560 B/op	     982 allocs/op
BenchmarkUpdateByFilter/fast-path-10                    	      20	     84696 ns/op	   86616 B/op	    1056 allocs/op
BenchmarkUpdateByFilter/fast-path-10                    	      20	     71729 ns/op	   86632 B/op	    1056 allocs/op
BenchmarkUpdateByFilter/fast-path-10                    	      20	     58546 ns/op	   86672 B/op	    1056 allocs/op
BenchmarkUpdateByFilter/fast-path-10                    	      20	     54025 ns/op	   86616 B/op	    1056 allocs/op
BenchmarkUpdateByFilter/fast-path-10                    	      20	     55071 ns/op	   86696 B/op	    1057 allocs/op
BenchmarkUpdateByFilter/fast-path-10                    	      20	     70715 ns/op	   86656 B/op	    1056 allocs/op
BenchmarkUpdateByFilter/fallback-10                     	      20	     92673 ns/op	  167360 B/op	    1560 allocs/op
BenchmarkUpdateByFilter/fallback-10                     	      20	     83442 ns/op	  167400 B/op	    1561 allocs/op
BenchmarkUpdateByFilter/fallback-10                     	      20	     89202 ns/op	  167320 B/op	    1560 allocs/op
BenchmarkUpdateByFilter/fallback-10                     	      20	    105385 ns/op	  167320 B/op	    1560 allocs/op
BenchmarkUpdateByFilter/fallback-10                     	      20	     94021 ns/op	  167344 B/op	    1560 allocs/op
BenchmarkUpdateByFilter/fallback-10                     	      20	     91219 ns/op	  167328 B/op	    1560 allocs/op
BenchmarkDeleteByFilter/fast-path-10                    	      20	     60835 ns/op	   85552 B/op	    1010 allocs/op
BenchmarkDeleteByFilter/fast-path-10                    	      20	     54008 ns/op	   85536 B/op	    1010 allocs/op
BenchmarkDeleteByFilter/fast-path-10                    	      20	     51635 ns/op	   85576 B/op	    1010 allocs/op
BenchmarkDeleteByFilter/fast-path-10                    	      20	     52321 ns/op	   85608 B/op	    1011 allocs/op
BenchmarkDeleteByFilter/fast-path-10                    	      20	     86438 ns/op	   85536 B/op	    1010 allocs/op
BenchmarkDeleteByFilter/fast-path-10                    	      20	     55440 ns/op	   85520 B/op	    1010 allocs/op
BenchmarkDeleteByFilter/fallback-10                     	      20	     85373 ns/op	  165584 B/op	    1520 allocs/op
BenchmarkDeleteByFilter/fallback-10                     	      20	     87481 ns/op	  165584 B/op	    1520 allocs/op
BenchmarkDeleteByFilter/fallback-10                     	      20	     83435 ns/op	  165560 B/op	    1520 allocs/op
BenchmarkDeleteByFilter/fallback-10                     	      20	     84771 ns/op	  165616 B/op	    1521 allocs/op
BenchmarkDeleteByFilter/fallback-10                     	      20	     87333 ns/op	  165576 B/op	    1520 allocs/op
BenchmarkDeleteByFilter/fallback-10                     	      20	     87310 ns/op	  165600 B/op	    1520 allocs/op
BenchmarkSendMessage_BodySize/1KB-10                    	      20	     14956 ns/op	   13964 B/op	     142 allocs/op
BenchmarkSendMessage_BodySize/1KB-10                    	      20	     24521 ns/op	   14004 B/op	     142 allocs/op
BenchmarkSendMessage_BodySize/1KB-10                    	      20	     11662 ns/op	   13954 B/op	     141 allocs/op
